
Samba version 3.6.6
PID     Username      Group         Machine                        
-------------------------------------------------------------------

Service      pid     machine       Connected at
-------------------------------------------------------
Klюkva      29467   klukva-sklad  Tue Aug 15 16:05:59 2017
1c82         5498   desktop-lera  Tue Aug 15 13:45:42 2017
Klюkva      18884   klukvachef    Tue Aug 15 14:36:28 2017
1c82         5568   avkassa       Tue Aug 15 12:43:09 2017
cucina       26028   op_159        Tue Aug 15 15:38:16 2017
avanti       20031   w7p           Tue Aug 15 14:45:24 2017
cucina       3740   pdo5          Tue Aug 15 07:46:59 2017
Klюkva      18431   klu3667-2     Tue Aug 15 09:52:54 2017
cucina       4346   frolovans     Tue Aug 15 07:52:24 2017
1c82         4987   avsklad1      Tue Aug 15 07:58:53 2017
cu1c         4994   pdochief      Tue Aug 15 07:59:50 2017
1c82         6143   avoopt1       Tue Aug 15 12:49:12 2017
1c82         4917   avsale4       Tue Aug 15 07:56:40 2017
1c82         10157   avsale5       Tue Aug 15 08:42:32 2017
1c82         5571   avsale6       Tue Aug 15 08:04:31 2017
IPC$         6827   dimas         Tue Aug 15 08:14:09 2017
Klюkva      5496   cucbuh2       Tue Aug 15 10:12:05 2017
1c82         18388   avanti-loginova  Tue Aug 15 14:33:44 2017
cucina       4351   op-free       Tue Aug 15 07:52:50 2017
Klюkva      15533   klu3667-1     Tue Aug 15 09:28:21 2017
cu1c         3179   veronika      Tue Aug 15 07:42:32 2017
IPC$         20723   cucbuh2       Tue Aug 15 10:12:13 2017
cu1c         6174   cucbuh7       Tue Aug 15 08:08:01 2017
1c82         5490   avmng9        Tue Aug 15 08:01:12 2017
cu1c         6176   cucmng2       Tue Aug 15 08:08:16 2017
cucina       5495   pdo6          Tue Aug 15 11:22:36 2017
Klюkva      27697   op198         Tue Aug 15 11:14:27 2017
1c82         6830   avbuha        Tue Aug 15 08:14:44 2017
cucina       5570   suvorova      Tue Aug 15 08:04:30 2017
cu1c         5495   pdo6          Tue Aug 15 08:02:25 2017
1c82         4993   steklosklad   Tue Aug 15 07:59:50 2017
1c82         7324   avsale1       Tue Aug 15 08:15:44 2017
cucina       26024   samoilova     Tue Aug 15 15:36:31 2017
1c82         6167   av-17         Tue Aug 15 09:23:09 2017
1c82         9027   avzak2        Tue Aug 15 08:34:27 2017
avanti       9027   avzak2        Tue Aug 15 08:38:29 2017
avanti       6167   av-17         Tue Aug 15 08:06:47 2017
Раскрой   26031   pdo2          Tue Aug 15 15:39:24 2017
cucina       28773   hairullinrb   Tue Aug 15 11:21:02 2017
cucina       21831   desktop-ulvm95u  Tue Aug 15 15:01:44 2017
cu1c         5496   cucbuh2       Tue Aug 15 08:02:28 2017
cu1c         6169   cucmng1       Tue Aug 15 08:07:04 2017
Klюkva      13835   raul-pc       Tue Aug 15 13:53:32 2017
1c82         4348   avbuh2        Tue Aug 15 07:52:41 2017
Klюkva      10863   matveevvv     Tue Aug 15 13:28:45 2017
avanti       5498   desktop-lera  Tue Aug 15 08:02:31 2017
Klюkva      7898   smal          Tue Aug 15 08:21:50 2017

Locked files:
Pid          Uid        DenyMode   Access      R/W        Oplock           SharePath   Name   Time
26028        1072       DENY_NONE  0x81        RDONLY     NONE             /home/exch/cucina   ОП/Эльмира/КЛИЕНТЫ/Крамаренко МОСКВА/8.05   Tue Aug 15 15:40:04 2017
26028        1072       DENY_NONE  0x81        RDONLY     NONE             /home/exch/cucina   ОП/Эльмира/КЛИЕНТЫ/Крамаренко МОСКВА/8.05   Tue Aug 15 15:40:04 2017
3740         1040       DENY_NONE  0x100081    RDONLY     NONE             /home/exch/cucina   ПДО/Заказы   Tue Aug 15 15:47:29 2017
4346         1028       DENY_NONE  0x100081    RDONLY     NONE             /home/exch/cucina   ПДО/Заказы   Tue Aug 15 11:40:31 2017
6174         1016       DENY_ALL   0x2019f     RDWR       EXCLUSIVE+BATCH  /home/db1/cu1c   ЗУП Хайруллин/1Cv8JobScheduler/exec.lck   Tue Aug 15 13:17:44 2017
4351         1072       DENY_NONE  0x81        RDONLY     NONE             /home/exch/cucina   ОП   Tue Aug 15 15:32:56 2017
4351         1072       DENY_NONE  0x81        RDONLY     NONE             /home/exch/cucina   ОП   Tue Aug 15 15:32:56 2017
4346         1028       DENY_NONE  0x100081    RDONLY     NONE             /home/exch/cucina   ОП   Tue Aug 15 16:01:26 2017
5570         1026       DENY_NONE  0x100081    RDONLY     NONE             /home/exch/cucina   ОП   Tue Aug 15 13:43:56 2017
6174         1016       DENY_NONE  0x20196     WRONLY     EXCLUSIVE+BATCH  /home/db1/cu1c   ЗУП Хайруллин/1Cv8tmp.1CD.cfl   Tue Aug 15 13:16:20 2017
6174         1016       DENY_NONE  0x2019f     RDWR       EXCLUSIVE+BATCH  /home/db1/cu1c   ЗУП Неверов/1Cv8tmp.1CL   Tue Aug 15 08:08:10 2017
5498         1078       DENY_NONE  0x81        RDONLY     NONE             /home/exch/avanti   Папка обмена/ПОСТАВЩИКИ/Ulgran/2017/август/14.08   Tue Aug 15 14:18:43 2017
5498         1078       DENY_NONE  0x81        RDONLY     NONE             /home/exch/avanti   Папка обмена/ПОСТАВЩИКИ/Ulgran/2017/август/14.08   Tue Aug 15 14:18:43 2017
26028        1072       DENY_WRITE 0x3019f     RDWR       EXCLUSIVE+BATCH  /home/exch/cucina   ОП/Эльмира/КЛИЕНТЫ/Крамаренко МОСКВА/8.05/~$12_06_2017_Бланк заказа МУ.xlsm   Tue Aug 15 15:40:08 2017
5496         1022       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   БП Хайруллин/1Cv8Log/20150818000000.lgp   Tue Aug 15 08:09:04 2017
3179         1017       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   БП Хайруллин/1Cv8Log/20150818000000.lgp   Tue Aug 15 08:46:46 2017
3179         1017       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   БП Хайруллин/1Cv8Log/20150818000000.lgp   Tue Aug 15 08:47:24 2017
6174         1016       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   БП Хайруллин/1Cv8Log/20150818000000.lgp   Tue Aug 15 13:52:26 2017
6174         1016       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   БП Хайруллин/1Cv8Log/20150818000000.lgp   Tue Aug 15 13:53:01 2017
5496         1022       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   БП Хайруллин/1Cv8tmp.1CL   Tue Aug 15 08:08:59 2017
3179         1017       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   БП Хайруллин/1Cv8tmp.1CL   Tue Aug 15 08:46:33 2017
3179         1017       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   БП Хайруллин/1Cv8tmp.1CL   Tue Aug 15 08:47:22 2017
6174         1016       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   БП Хайруллин/1Cv8tmp.1CL   Tue Aug 15 13:52:22 2017
6174         1016       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   БП Хайруллин/1Cv8tmp.1CL   Tue Aug 15 13:52:59 2017
5496         1022       DENY_NONE  0x20196     WRONLY     NONE             /home/db1/cu1c   БП Неверов/1Cv8JobScheduler/exec.lck.cfl   Tue Aug 15 08:13:04 2017
4346         1028       DENY_NONE  0x100081    RDONLY     NONE             /home/exch/cucina   ОП/Оксана Камаева   Tue Aug 15 16:01:15 2017
4348         1010       DENY_NONE  0x2019f     RDWR       EXCLUSIVE+BATCH  /home/db1/1c82   GlassDirector/1Cv8Log/20160205000000.lgp   Tue Aug 15 15:46:13 2017
9027         1015       DENY_WRITE 0x2019f     RDWR       NONE             /home/exch/avanti   Папка обмена/ПОСТАВЩИКИ/АРИСТО/2017/август/ГРАНД СФ накладная(1).xls   Tue Aug 15 16:06:31 2017
21831        1065       DENY_NONE  0x81        RDONLY     NONE             /home/exch/cucina   ОП/Бухенская Наталья/Договора   Tue Aug 15 15:26:48 2017
21831        1065       DENY_NONE  0x81        RDONLY     NONE             /home/exch/cucina   ОП/Бухенская Наталья/Договора   Tue Aug 15 15:26:48 2017
4346         1028       DENY_WRITE 0x2019f     RDWR       NONE             /home/exch/cucina   ПДО/Заказы/Отгрузки/2017/8 август/14-18 августа.xls   Tue Aug 15 08:10:06 2017
18431        1070       DENY_WRITE 0x2019f     RDWR       NONE             /home/exch/klukva   Заказы/2017г/03. Март/Д-03.224.СМ29 (ФС Самара).ods   Tue Aug 15 15:59:04 2017
18388        1054       DENY_NONE  0x2019f     RDWR       EXCLUSIVE+BATCH  /home/db1/1c82   Клюква Новая 04.08.17/1Cv8Log/1Cv8.lgf   Tue Aug 15 14:33:48 2017
5496         1022       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   БП Неверов/1Cv8tmp.1CD   Tue Aug 15 08:11:26 2017
3179         1017       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   БП Неверов/1Cv8tmp.1CD   Tue Aug 15 08:41:16 2017
3179         1017       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   БП Неверов/1Cv8tmp.1CD   Tue Aug 15 08:42:09 2017
6174         1016       DENY_NONE  0x20196     WRONLY     EXCLUSIVE+BATCH  /home/db1/cu1c   ЗУП Хайруллин/1Cv8.1CD.cfl   Tue Aug 15 13:16:13 2017
6174         1016       DENY_NONE  0x20196     WRONLY     EXCLUSIVE+BATCH  /home/db1/cu1c   ЗУП Неверов/1Cv8tmp.1CL.cfl   Tue Aug 15 08:08:10 2017
3179         1017       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   Фасады/1Cv8Log/1Cv8.lgf   Tue Aug 15 07:42:38 2017
4994         1032       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   Фасады/1Cv8Log/1Cv8.lgf   Tue Aug 15 08:00:03 2017
5495         1005       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   Фасады/1Cv8Log/1Cv8.lgf   Tue Aug 15 08:02:38 2017
5496         1022       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   Фасады/1Cv8Log/1Cv8.lgf   Tue Aug 15 08:02:47 2017
6169         1073       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   Фасады/1Cv8Log/1Cv8.lgf   Tue Aug 15 08:07:19 2017
6176         1060       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   Фасады/1Cv8Log/1Cv8.lgf   Tue Aug 15 08:08:25 2017
6174         1016       DENY_NONE  0x2019f     RDWR       EXCLUSIVE+BATCH  /home/db1/cu1c   ЗУП Спиридонов/1Cv8Log/20150310000000.lgp   Tue Aug 15 08:39:09 2017
5570         1026       DENY_WRITE 0x2019f     RDWR       NONE             /home/exch/cucina   ПДО/Заказы/Архив  кн-1.xls   Tue Aug 15 10:04:13 2017
6174         1016       DENY_NONE  0x2019f     RDWR       EXCLUSIVE+BATCH  /home/db1/cu1c   ЗУП Хайруллин/1Cv8FTxt/changes20170815000000.log.cfl   Tue Aug 15 13:17:56 2017
4348         1010       DENY_NONE  0x2019f     RDWR       EXCLUSIVE+BATCH  /home/db1/1c82   GlassDirector/1Cv8.1CL   Tue Aug 15 15:46:05 2017
5496         1022       DENY_NONE  0x20196     WRONLY     NONE             /home/db1/cu1c   БП Хайруллин/1Cv8JobScheduler/exec.lck.cfl   Tue Aug 15 08:12:45 2017
6174         1016       DENY_NONE  0x20196     WRONLY     NONE             /home/db1/cu1c   БП Спиридонов/1Cv8.1CL.cfl   Tue Aug 15 09:50:22 2017
3179         1017       DENY_NONE  0x20196     WRONLY     NONE             /home/db1/cu1c   БП Спиридонов/1Cv8.1CL.cfl   Tue Aug 15 14:35:44 2017
5570         1026       DENY_WRITE 0x2019f     RDWR       NONE             /home/exch/cucina   ОП/Екатерина/ВАЖНО/Доп.инфа/!Фигня/ОСН. тех документация.doc   Tue Aug 15 15:59:37 2017
6167         1067       DENY_NONE  0x81        RDONLY     NONE             /home/exch/avanti   Папка обмена/ПОСТАВЩИКИ/Мебельная фурнитура(контур)/2017/июнь   Tue Aug 15 15:06:05 2017
6167         1067       DENY_NONE  0x81        RDONLY     NONE             /home/exch/avanti   Папка обмена/ПОСТАВЩИКИ/Мебельная фурнитура(контур)/2017/июнь   Tue Aug 15 15:06:05 2017
5496         1022       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   БП Неверов/1Cv8Log/1Cv8.lgd   Tue Aug 15 08:11:29 2017
3179         1017       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   БП Неверов/1Cv8Log/1Cv8.lgd   Tue Aug 15 08:41:30 2017
4994         1032       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   Фасады/1Cv8FTxt/changes20170815000000.log   Tue Aug 15 08:03:41 2017
6176         1060       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   Фасады/1Cv8FTxt/changes20170815000000.log   Tue Aug 15 08:25:39 2017
6169         1073       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   Фасады/1Cv8FTxt/changes20170815000000.log   Tue Aug 15 08:31:34 2017
3179         1017       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   Фасады/1Cv8FTxt/changes20170815000000.log   Tue Aug 15 08:49:02 2017
5496         1022       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   Фасады/1Cv8FTxt/changes20170815000000.log   Tue Aug 15 09:12:14 2017
5495         1005       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   Фасады/1Cv8FTxt/changes20170815000000.log   Tue Aug 15 09:55:32 2017
6174         1016       DENY_WRITE 0x20089     RDONLY     EXCLUSIVE+BATCH  /home/db1/cu1c   ЗУП Хайруллин/1Cv8FTxt/cfgInfo.dat   Tue Aug 15 16:11:00 2017
18431        1070       DENY_NONE  0x81        RDONLY     NONE             /home/exch/klukva   Рекламации/2017 г/08. Август/Самара 19   Tue Aug 15 13:46:23 2017
18431        1070       DENY_NONE  0x81        RDONLY     NONE             /home/exch/klukva   Рекламации/2017 г/08. Август/Самара 19   Tue Aug 15 13:46:23 2017
6174         1016       DENY_NONE  0x2019f     RDWR       EXCLUSIVE+BATCH  /home/db1/cu1c   ЗУП Хайруллин/1Cv8.1CL   Tue Aug 15 13:16:13 2017
6174         1016       DENY_NONE  0x20196     WRONLY     EXCLUSIVE+BATCH  /home/db1/cu1c   ЗУП Спиридонов/1Cv8tmp.1CD.cfl   Tue Aug 15 08:39:08 2017
6174         1016       DENY_ALL   0x20196     WRONLY     EXCLUSIVE+BATCH  /home/db1/cu1c   ЗУП Хайруллин/1Cv8FTxt/checkoutReasonFile.dat   Tue Aug 15 16:11:00 2017
6174         1016       DENY_NONE  0x2019f     RDWR       EXCLUSIVE+BATCH  /home/db1/cu1c   ЗУП Спиридонов/1Cv8Log/1Cv8.lgf   Tue Aug 15 08:39:08 2017
4346         1028       DENY_WRITE 0x2019f     RDWR       NONE             /home/exch/cucina   ОП/НОВЫЕ ПРАЙС 04.02.13/прайс на доп.компл от 12.06.17.xlsx   Tue Aug 15 08:05:24 2017
3179         1017       DENY_NONE  0x20196     WRONLY     NONE             /home/db1/cu1c   БП Киселев/1Cv8tmp.1CL.cfl   Tue Aug 15 08:04:51 2017
5496         1022       DENY_NONE  0x20196     WRONLY     NONE             /home/db1/cu1c   БП Киселев/1Cv8tmp.1CL.cfl   Tue Aug 15 08:11:49 2017
5496         1022       DENY_NONE  0x20196     WRONLY     NONE             /home/db1/cu1c   БП Киселев/1Cv8tmp.1CL.cfl   Tue Aug 15 08:12:27 2017
5495         1005       DENY_NONE  0x100081    RDONLY     NONE             /home/exch/cucina   ПДО/Заказы/заявки балясин и решёток   Tue Aug 15 13:47:41 2017
3179         1017       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   Фасады/1Cv8.1CD   Tue Aug 15 16:04:08 2017
4994         1032       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   Фасады/1Cv8.1CD   Tue Aug 15 16:07:33 2017
5495         1005       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   Фасады/1Cv8.1CD   Tue Aug 15 16:05:24 2017
5496         1022       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   Фасады/1Cv8.1CD   Tue Aug 15 16:11:01 2017
6169         1073       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   Фасады/1Cv8.1CD   Tue Aug 15 16:09:43 2017
6176         1060       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   Фасады/1Cv8.1CD   Tue Aug 15 16:09:45 2017
5568         1013       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/1c82   TradeAvanti/1Cv8Log/1Cv8.lgf   Tue Aug 15 12:43:27 2017
4348         1010       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/1c82   TradeAvanti/1Cv8Log/1Cv8.lgf   Tue Aug 15 07:53:19 2017
4917         1011       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/1c82   TradeAvanti/1Cv8Log/1Cv8.lgf   Tue Aug 15 07:56:44 2017
4987         1049       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/1c82   TradeAvanti/1Cv8Log/1Cv8.lgf   Tue Aug 15 07:59:11 2017
10157        1035       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/1c82   TradeAvanti/1Cv8Log/1Cv8.lgf   Tue Aug 15 08:42:51 2017
5490         1069       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/1c82   TradeAvanti/1Cv8Log/1Cv8.lgf   Tue Aug 15 08:01:16 2017
5571         1057       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/1c82   TradeAvanti/1Cv8Log/1Cv8.lgf   Tue Aug 15 08:04:36 2017
5498         1078       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/1c82   TradeAvanti/1Cv8Log/1Cv8.lgf   Tue Aug 15 13:45:47 2017
6830         1003       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/1c82   TradeAvanti/1Cv8Log/1Cv8.lgf   Tue Aug 15 09:29:55 2017
7324         1006       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/1c82   TradeAvanti/1Cv8Log/1Cv8.lgf   Tue Aug 15 08:15:50 2017
9027         1015       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/1c82   TradeAvanti/1Cv8Log/1Cv8.lgf   Tue Aug 15 08:34:32 2017
6167         1067       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/1c82   TradeAvanti/1Cv8Log/1Cv8.lgf   Tue Aug 15 09:23:17 2017
6174         1016       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   БП Спиридонов/1Cv8Log/1Cv8.lgf   Tue Aug 15 09:50:26 2017
3179         1017       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   БП Спиридонов/1Cv8Log/1Cv8.lgf   Tue Aug 15 14:35:47 2017
6830         1003       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/1c82   Trade/1Cv8tmp.1CD   Tue Aug 15 15:22:08 2017
4348         1010       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/1c82   Trade/1Cv8tmp.1CD   Tue Aug 15 16:00:45 2017
5570         1026       DENY_WRITE 0x2019f     RDWR       NONE             /home/exch/cucina   ОП/Екатерина/Учет заказов/прочее/ИП Нестеров/просчет/1.xlsm   Tue Aug 15 08:04:56 2017
4348         1010       DENY_NONE  0x2019f     RDWR       EXCLUSIVE+BATCH  /home/db1/1c82   GlassDirector/1Cv8FTxt/changes20170815000000.log   Tue Aug 15 15:50:00 2017
28773        1024       DENY_NONE  0x81        RDONLY     NONE             /home/exch/cucina   Хайруллин   Tue Aug 15 11:21:02 2017
28773        1024       DENY_NONE  0x81        RDONLY     NONE             /home/exch/cucina   Хайруллин   Tue Aug 15 11:21:02 2017
13835        1066       DENY_NONE  0x81        RDONLY     NONE             /home/exch/klukva   Технологический Отдел/Библиотеки/Схемы сборки/Junior   Tue Aug 15 15:42:09 2017
13835        1066       DENY_NONE  0x81        RDONLY     NONE             /home/exch/klukva   Технологический Отдел/Библиотеки/Схемы сборки/Junior   Tue Aug 15 15:42:09 2017
4351         1072       DENY_NONE  0x81        RDONLY     NONE             /home/exch/cucina   ОП/сканирование   Tue Aug 15 15:32:56 2017
4351         1072       DENY_NONE  0x81        RDONLY     NONE             /home/exch/cucina   ОП/сканирование   Tue Aug 15 15:32:56 2017
28773        1024       DENY_NONE  0x81        RDONLY     NONE             /home/exch/cucina   ОП/сканирование   Tue Aug 15 11:21:02 2017
28773        1024       DENY_NONE  0x81        RDONLY     NONE             /home/exch/cucina   ОП/сканирование   Tue Aug 15 11:21:02 2017
5496         1022       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   БП Неверов/1Cv8FTxt/changes20170815000000.log   Tue Aug 15 08:13:11 2017
5496         1022       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   БП Неверов/1Cv8FTxt/changes20170815000000.log   Tue Aug 15 08:22:42 2017
3179         1017       DENY_NONE  0x20089     RDONLY     NONE             /home/db1/cu1c   БП Неверов/1Cv8FTxt/changes20170815000000.log   Tue Aug 15 14:11:21 2017
3179         1017       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   БП Неверов/1Cv8FTxt/changes20170815000000.log   Tue Aug 15 09:18:12 2017
3179         1017       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   БП Неверов/1Cv8FTxt/changes20170815000000.log   Tue Aug 15 09:18:32 2017
